1, FSD, DL, 199112,1.7590499,10,29
1, FSD, DL, 199301,0.45833334,9,17
1, FSD, EV, 201402,0.5728544,6,15
1, FSD, F9, 201409,0.3809524,6,28
1, FSD, NW, 199304,0.76596516,8,21
1, FSD, NW, 200006,0.9814815,8,14
1, FSD, NW, 200411,0.9090909,10,24
1, FSD, NW, 200708,0.25454545,1,9
1, FSD, OO, 200505,0.23333333,9,27
1, FSD, OO, 200802,0.10309278,1,7
1, FSD, OO, 200910,1.0413471,12,24
1, FSD, OO, 201207,0.6928865,13,20
1, FSD, OO, 201504,0.56109643,12,56
1, FSD, TW, 198902,3.1379309,12,22
1, FSD, TW, 199010,1.5853659,9,22
1, FSD, UA, 199001,1.4011629,17,52
1, FSD, UA, 199109,1.9245212,21,66
1, FSD, UA, 199406,0.22093023,5,29
1, FSD, UA, 200810,0.0,0,4
1, FSD, UA, 201107,0.90155053,13,42
1, FSD, XE, 201109,0.59983957,7,22
1, FSD, YV, 200602,0.12,4,24
1, GSO, 9E, 200702,0.87134844,18,50
1, GSO, 9E, 200810,1.5987715,36,111
1, GSO, AA, 198910,3.7817461,39,81
1, GSO, AA, 199207,3.8255608,38,94
1, GSO, AA, 199504,0.77174395,14,39
1, GSO, AA, 199612,0.13375796,3,14
1, GSO, AA, 199909,0.29255843,8,25
1, GSO, CO, 199608,0.6225165,13,22
1, GSO, CO, 200310,0.0,0,1
1, GSO, EA, 198912,1.925926,9,14
1, GSO, EV, 201105,0.39139193,4,17
1, GSO, EV, 201402,0.5364758,9,30
1, GSO, EV, 201510,0.908065,18,38
1, GSO, MQ, 200106,0.8169516,12,29
